Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,6.84,6.89,6.76,6.85,28800,25.68288
2013-03-01,6.99,7.18,6.60,6.82,27500,25.5704
2013-02-01,6.64,7.05,6.62,6.96,30500,25.63328
2013-01-02,6.02,6.98,5.95,6.61,89300,24.34425
2012-12-03,8.20,8.940001,5.60,6.03,122100,22.208143
2012-11-01,9.190001,9.330001,8.02,8.46,2300,31.157692
2012-10-01,8.87,9.25,8.75,9.23,1800,33.560768
2012-09-04,9.04,9.23,8.82,8.900001,1200,32.36087
2012-08-01,8.92,9.400001,8.86,9.02,1500,32.797195
2012-07-02,9.04,9.26,8.41,8.900001,2300,31.978519
2012-06-01,9.16,9.440001,8.50,8.940001,3400,32.122242
2012-05-01,8.41,9.330001,8.31,9.21,3400,33.092377
2012-04-02,8.72,9.00,7.93,8.43,3400,29.896858
2012-03-01,8.62,8.95,8.240001,8.71,5900,30.889872
2012-02-01,8.61,9.440001,8.18,8.56,6200,30.357899
2012-01-03,8.10,8.67,7.50,8.67,2800,30.3641
2011-12-01,7.72,8.39,7.24,8.06,4600,28.227755
2011-11-01,7.43,8.26,7.28,7.80,2800,27.317183
2011-10-03,7.50,7.76,6.59,7.57,3100,26.150301
2011-09-01,8.26,8.38,7.44,7.50,2100,25.908489
2011-08-01,8.73,8.89,7.41,8.27,4400,28.568428
2011-07-01,8.05,9.02,8.05,8.650001,7800,29.512222
2011-06-01,8.57,8.60,7.75,8.10,7200,27.635723
2011-05-02,8.48,8.650001,8.30,8.55,5600,29.17104
2011-04-01,8.73,9.27,8.38,8.50,6100,28.662844
2011-03-01,8.45,9.02,8.17,8.77,9100,29.573309
2011-02-01,7.54,8.50,7.47,8.50,7200,28.662844
2011-01-03,7.27,7.69,7.25,7.54,2900,25.094135
2010-12-01,7.34,7.50,6.79,7.30,6100,24.295382
2010-11-01,7.05,7.42,6.95,7.28,9500,24.228821
2010-10-01,5.58,7.17,5.42,7.08,15900,23.245201
2010-09-01,5.65,5.85,5.40,5.60,8900,18.386034
2010-08-02,5.95,6.44,5.35,5.62,7300,18.451698
2010-07-01,5.33,5.95,5.10,5.88,6100,18.952402
2010-06-01,5.80,5.90,5.27,5.45,4400,17.566427
2010-05-03,7.60,7.71,5.27,5.80,12500,18.694548
2010-04-01,7.47,7.93,7.380001,7.50,5400,23.760048
2010-03-01,6.92,7.66,6.86,7.42,7600,23.506605
2010-02-01,6.73,7.21,6.33,6.85,4500,21.700844
2010-01-04,6.45,7.58,6.45,6.68,8600,20.763573
2009-12-01,6.27,6.67,6.00,6.52,5500,20.266239
2009-11-02,6.00,6.46,5.71,6.23,5600,19.364828
2009-10-01,6.59,6.82,5.64,5.99,5800,18.223333
2009-09-01,5.80,6.81,5.33,6.52,6500,19.835747
2009-08-03,5.65,6.45,5.57,5.74,7300,17.462761
2009-07-01,4.23,6.67,4.04,5.50,17600,16.38063
2009-06-01,4.50,4.94,3.78,4.18,13600,12.449279
2009-05-01,6.03,6.93,4.11,4.45,13200,13.253419
2009-04-01,5.81,6.47,5.62,5.99,7900,17.324617
2009-03-02,6.31,6.93,4.84,5.98,7500,17.295694
2009-02-02,6.12,8.280001,5.48,6.35,10600,18.365829
2009-01-02,4.50,6.54,4.45,6.17,10400,17.253811
2008-12-01,5.00,5.29,3.92,4.45,17300,12.443997
2008-11-03,6.85,7.24,3.93,5.21,12500,14.569263
2008-10-01,8.740001,9.22,4.67,6.72,13000,17.892946
2008-09-02,11.79,11.79,8.55,8.900001,5300,23.697504
2008-08-01,11.690001,12.00,11.42,11.50,3200,30.620369
2008-07-01,11.900001,12.00,10.780001,11.68,3800,30.40181
2008-06-02,12.490001,12.54,11.82,11.900001,3800,30.974445
2008-05-01,11.92,12.490001,11.92,12.45,5000,32.40604
2008-04-01,12.75,13.70,11.80,12.00,6400,30.571722
2008-03-03,11.940001,12.889999,11.71,12.650001,5000,32.227692
2008-02-01,12.490001,13.05,11.93,11.940001,6200,30.418863
2008-01-02,12.25,12.62,11.62,12.42,5500,31.009403
2007-12-03,11.62,12.57,10.50,12.25,12800,30.584961
2007-11-01,14.42,14.48,11.530001,11.66,8400,29.111889
2007-10-01,14.29,14.530001,13.82,14.49,5300,35.521935
2007-09-04,14.50,15.49,14.38,14.400001,5800,35.301304
2007-08-01,15.85,15.85,13.530001,14.45,9100,35.423878
2007-07-02,17.58,17.58,15.55,15.80,10000,38.235378
2007-06-01,17.85,19.27,17.43,17.43,6000,42.179913
2007-05-01,18.200001,18.630001,17.060001,17.85,11600,43.196297
2007-04-02,16.25,18.190001,16.07,18.190001,13000,43.631458
2007-03-01,14.60,16.450001,14.25,16.370001,12600,39.265915
2007-02-02,15.00,15.400001,14.139999,14.50,57200,34.780437
