Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,13.64,13.90,13.51,13.80,981400,12.143301
2013-03-01,13.41,14.20,13.29,13.68,330300,12.037707
2013-02-01,13.90,14.18,13.12,13.47,427700,11.852918
2013-01-02,12.75,13.81,12.43,13.80,435700,11.997793
2012-12-03,11.47,12.69,11.42,12.54,451100,10.902342
2012-11-01,11.15,12.05,10.99,11.37,421700,9.885138
2012-10-01,11.36,11.79,10.91,11.13,348700,9.535686
2012-09-04,11.43,12.33,11.32,11.33,416900,9.707036
2012-08-01,11.92,12.30,11.25,11.42,434500,9.784144
2012-07-02,12.11,13.05,11.55,11.83,385500,10.004127
2012-06-01,10.92,12.23,10.77,12.05,428000,10.190171
2012-05-01,12.15,12.66,11.03,11.11,470600,9.395253
2012-04-02,12.24,12.42,11.42,12.15,530900,10.141873
2012-03-01,13.50,13.76,12.13,12.24,853000,10.216998
2012-02-01,14.26,14.55,12.93,13.61,569800,11.360567
2012-01-03,13.05,14.41,12.77,14.10,497700,11.642937
2011-12-01,11.60,12.95,11.50,12.72,426200,10.503415
2011-11-01,11.61,12.62,10.61,11.62,510700,9.5951
2011-10-03,9.44,12.57,8.53,12.13,627800,9.875945
2011-09-01,11.77,11.92,9.49,9.52,723200,7.750948
2011-08-01,11.59,12.30,9.72,11.77,1059400,9.46436
2011-07-01,12.75,12.93,11.28,11.45,451000,9.207045
2011-06-01,12.54,12.85,11.43,12.72,582900,10.128999
2011-05-02,12.55,13.82,11.41,12.54,792100,9.985663
2011-04-01,12.16,12.89,11.96,12.46,479600,9.921959
2011-03-01,12.15,12.68,10.87,12.07,614600,9.6114
2011-02-01,10.68,13.01,10.60,12.08,620600,9.539268
2011-01-03,10.54,10.99,10.23,10.62,439500,8.386343
2010-12-01,9.81,10.89,9.74,10.45,393300,8.252099
2010-11-01,9.28,10.05,8.58,9.58,689800,7.493375
2010-10-01,8.55,9.53,8.10,9.21,802300,7.203965
2010-09-01,8.16,8.99,8.00,8.48,483800,6.632966
2010-08-02,9.36,9.73,7.75,7.81,578500,6.037115
2010-07-01,7.85,9.46,7.45,9.14,487600,7.065202
2010-06-01,9.72,10.29,7.83,7.85,592500,6.068035
2010-05-03,12.05,12.34,8.75,9.85,869300,7.530176
2010-04-01,9.64,12.38,9.49,12.01,667000,9.181463
2010-03-01,9.85,10.44,9.05,9.47,552500,7.239672
2010-02-01,9.55,10.39,8.50,9.73,268200,7.358454
2010-01-04,10.04,11.41,9.27,9.51,380600,7.192076
2009-12-01,8.89,10.23,8.86,9.85,263000,7.449206
2009-11-02,7.98,9.39,7.52,8.86,345400,6.630634
2009-10-01,9.56,9.88,7.77,7.92,317600,5.927159
2009-09-01,9.21,10.62,8.70,9.67,280900,7.236822
2009-08-03,7.40,10.60,7.30,9.40,505100,6.962086
2009-07-01,7.49,7.84,6.30,7.26,444700,5.3771
2009-06-01,6.85,7.98,6.63,7.35,401400,5.443758
2009-05-01,6.70,7.27,6.08,6.69,572500,4.886682
2009-04-01,4.54,7.32,4.46,6.60,638300,4.820941
2009-03-02,3.28,5.25,2.62,4.65,444000,3.396573
2009-02-02,4.22,4.65,2.54,3.28,466900,2.348135
2009-01-02,4.77,5.47,3.94,4.08,407800,2.920851
2008-12-01,4.62,5.83,4.00,4.78,524100,3.421978
2008-11-03,7.14,7.14,2.78,5.44,738100,3.816735
2008-10-01,9.84,9.96,5.04,6.95,783500,4.876159
2008-09-02,13.26,13.90,8.91,9.91,821700,6.952911
2008-08-01,10.80,14.41,10.80,13.27,703000,9.085421
2008-07-01,8.31,11.56,8.20,10.95,1077300,7.497012
2008-06-02,12.84,12.84,7.68,8.41,1683000,5.757979
2008-05-01,14.22,16.90,12.55,12.83,999100,8.524898
2008-04-01,11.19,15.30,11.03,13.98,1216100,9.289015
2008-03-03,20.76,20.76,10.98,11.25,2047600,7.475066
2008-02-01,24.889999,25.360001,18.139999,20.60,869000,13.42844
2008-01-02,26.58,26.639999,20.50,24.58,633000,16.022867
2007-12-03,26.719999,28.02,24.84,26.33,521200,17.163631
2007-11-01,31.549999,32.279999,23.299999,26.42,737500,16.781187
2007-10-01,33.549999,33.639999,30.60,32.310001,1120700,20.522339
2007-09-04,34.799999,36.700001,32.98,33.419998,390100,21.227375
2007-08-01,32.75,34.790001,27.889999,34.490002,579700,21.511354
2007-07-02,39.82,40.66,32.27,32.790001,302000,20.451067
2007-06-01,39.200001,41.310001,37.18,39.810001,252200,24.82943
2007-05-01,33.450001,39.700001,33.400002,39.049999,233600,23.989904
2007-04-02,35.720001,36.32,33.189999,33.400002,139000,20.518896
2007-03-01,34.18,36.580002,31.700001,35.380001,240700,21.735285
2007-02-01,30.09,35.560001,30.07,34.50,807200,20.895983
2007-01-03,29.469999,30.43,28.110001,30.059999,60900,18.20676
2006-12-01,29.219999,29.719999,28.700001,29.50,87400,17.867579
2006-11-01,32.50,32.82,28.799999,29.219999,72100,17.434324
2006-10-02,29.00,33.450001,28.90,32.209999,81700,19.218328
2006-09-01,28.00,30.00,28.00,29.059999,55800,17.144478
2006-08-08,27.450001,29.030001,25.75,27.90,463000,16.460114
