Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,4.77,4.80,4.75,4.77,189600,7.425419
2013-03-01,4.65,4.81,4.65,4.80,90700,7.47212
2013-02-01,4.85,4.87,4.61,4.76,126200,7.363152
2013-01-02,5.31,5.63,4.74,4.82,223400,7.409268
2012-12-03,5.40,5.40,5.07,5.23,71800,7.953837
2012-11-01,5.75,5.79,4.80,5.37,96100,8.026242
2012-10-01,5.93,6.03,5.65,5.76,66800,8.509626
2012-09-04,5.81,6.01,5.75,5.90,73500,8.628264
2012-08-01,5.58,5.92,5.52,5.81,56500,8.411679
2012-07-02,5.39,5.75,5.36,5.58,66400,7.99597
2012-06-01,5.20,5.47,4.98,5.35,58400,7.585546
2012-05-01,5.93,6.00,5.17,5.28,63200,7.403575
2012-04-02,6.08,6.13,5.86,5.94,54900,8.235085
2012-03-01,6.19,6.26,5.95,6.06,59400,8.318949
2012-02-01,5.94,6.34,5.93,6.19,76100,8.415308
2012-01-03,5.29,5.95,5.23,5.86,85100,7.889947
2011-12-01,5.63,5.69,5.09,5.17,83000,6.890137
2011-11-01,5.87,6.13,5.35,5.63,55300,7.417761
2011-10-03,5.30,6.15,4.90,6.02,57900,7.850804
2011-09-01,6.45,6.45,5.35,5.35,61700,6.905115
2011-08-01,7.13,7.21,5.50,6.41,101400,8.192517
2011-07-01,7.39,7.64,6.84,6.95,56100,8.796582
2011-06-01,7.61,7.67,6.98,7.35,61600,9.227635
2011-05-02,7.78,7.89,7.37,7.59,56600,9.450626
2011-04-01,7.64,7.75,7.31,7.70,53000,9.514588
2011-03-01,7.69,7.84,6.64,7.60,63200,9.316195
2011-02-01,7.92,8.18,7.34,7.73,70400,9.400348
2011-01-03,7.45,8.20,7.37,8.02,76800,9.681036
2010-12-01,7.10,7.80,7.05,7.29,90500,8.733679
2010-11-01,6.84,7.19,6.74,7.00,69500,8.168979
2010-10-01,6.50,7.01,6.45,6.84,59700,7.914899
2010-09-01,5.87,6.55,5.87,6.51,64900,7.467345
2010-08-02,6.39,6.49,5.75,5.78,54700,6.568792
2010-07-01,5.78,6.49,5.62,6.34,92500,7.136594
2010-06-01,7.84,8.98,5.71,5.79,163900,6.454619
2010-05-03,11.01,11.15,7.00,7.94,161500,8.73859
2010-04-01,10.49,11.94,10.49,11.00,94600,11.950239
2010-03-01,9.65,10.85,9.63,10.46,85400,11.256936
2010-02-01,9.56,10.00,8.51,9.63,87400,10.257653
2010-01-04,10.27,10.33,9.47,9.51,69800,10.015076
2009-12-01,9.82,10.25,9.74,10.13,54200,10.552844
2009-11-02,9.48,10.12,8.97,9.68,56500,9.91297
2009-10-01,9.58,10.25,8.50,9.22,69100,9.338861
2009-09-01,9.39,10.65,8.75,9.50,77800,9.517982
2009-08-03,8.55,9.52,8.55,9.11,58400,9.029768
2009-07-01,7.99,8.85,7.16,8.50,46900,8.327792
2009-06-01,8.15,8.82,6.59,7.89,72700,7.633633
2009-05-01,6.69,8.47,6.60,8.08,53000,7.712591
2009-04-01,6.15,7.44,6.07,6.62,56000,6.220105
2009-03-02,5.75,6.59,4.31,6.15,71200,5.690458
2009-02-02,7.96,8.40,5.51,5.83,80700,5.298508
2009-01-02,7.00,8.99,6.90,8.09,70100,7.190778
2008-12-01,7.19,7.43,6.27,7.07,61400,6.148753
2008-11-03,8.39,8.98,5.17,7.10,65100,6.026787
2008-10-01,10.00,12.44,3.90,8.79,86600,7.297453
2008-09-02,13.00,13.25,8.40,9.92,109800,8.067505
2008-08-01,13.51,13.95,12.54,12.84,62400,10.285119
2008-07-01,14.90,15.41,12.00,13.68,77600,10.818646
2008-06-02,18.469999,18.50,15.00,15.11,49600,11.807485
2008-05-01,19.450001,20.10,18.35,18.450001,38600,14.27564
2008-04-01,18.50,19.76,18.50,19.35,26900,14.838334
2008-03-03,19.32,19.32,17.209999,18.450001,32000,14.024899
2008-02-01,19.02,19.51,18.18,19.26,35100,14.503572
2008-01-02,21.610001,22.48,16.709999,19.139999,59400,14.282874
2007-12-03,22.43,23.85,21.01,21.540001,39800,15.945783
2007-11-01,23.90,23.940001,21.02,22.450001,39400,15.393721
2007-10-01,23.42,24.23,23.08,24.049999,27200,16.366224
2007-09-04,22.58,23.360001,22.040001,23.290001,26800,15.736164
2007-08-01,23.25,23.52,18.299999,22.48,63400,15.07617
2007-07-02,24.280001,25.50,21.469999,23.25,58800,15.464516
2007-06-01,24.049999,24.48,22.92,24.27,40500,16.034744
2007-05-01,24.549999,24.950001,23.42,23.690001,58000,15.547812
2007-04-02,23.90,24.90,23.639999,24.549999,40800,16.007563
2007-03-01,22.25,23.98,21.92,23.84,41300,15.442684
2007-02-01,23.08,24.200001,22.15,22.52,57300,14.485758
2007-01-03,23.23,23.25,21.33,23.10,88000,14.759902
2006-12-01,22.700001,23.42,22.58,23.00,73300,14.593327
2006-11-01,21.540001,22.799999,21.299999,22.60,66700,14.241314
2006-10-02,20.60,21.85,20.32,21.51,63600,13.462038
2006-09-01,20.799999,21.200001,20.42,20.549999,65800,12.771492
2006-08-01,20.09,21.50,20.00,20.790001,72200,12.828359
2006-07-27,20.00,20.09,20.00,20.09,31400,12.396426
