Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,25.799999,25.99,25.27,25.41,1381000,17.608868
2013-03-01,25.35,25.969999,24.49,25.889999,996500,17.941502
2013-02-01,26.75,27.00,23.60,25.42,1458300,17.615797
2013-01-02,25.809999,28.950001,25.559999,26.60,1026600,18.019207
2012-12-03,24.799999,25.35,23.700001,25.290001,710200,17.131794
2012-11-01,25.440001,25.780001,21.690001,24.65,1100200,16.69825
2012-10-01,23.450001,25.65,23.34,25.440001,996700,16.799717
2012-09-04,21.620001,23.52,21.42,23.370001,965500,15.432759
2012-08-01,21.129999,22.76,20.93,21.540001,1332300,14.224289
2012-07-02,19.780001,21.35,19.719999,21.07,386100,13.572737
2012-06-01,18.66,19.790001,18.139999,19.73,505200,12.709544
2012-05-01,20.379999,20.67,17.459999,18.469999,921400,11.897885
2012-04-02,18.709999,20.530001,18.16,20.290001,410700,12.698199
2012-03-01,18.08,19.00,18.07,18.67,436800,11.684345
2012-02-01,17.809999,19.23,17.709999,18.00,737900,11.265036
2012-01-03,16.84,17.950001,16.690001,17.709999,248800,10.758079
2011-12-01,16.120001,16.90,15.94,16.620001,215300,10.09595
2011-11-01,16.799999,17.33,15.45,16.120001,218800,9.792221
2011-10-03,15.86,17.76,14.10,17.10,206300,10.087138
2011-09-01,17.08,17.450001,15.66,15.90,171000,9.379269
2011-08-01,16.25,17.26,15.61,17.040001,275200,10.051745
2011-07-01,16.620001,17.08,15.34,16.01,151200,9.158835
2011-06-01,17.110001,17.17,16.10,16.57,207200,9.479194
2011-05-02,18.42,18.73,16.950001,17.07,239800,9.765228
2011-04-01,18.389999,18.74,18.00,18.32,195300,10.237662
2011-03-01,18.780001,19.049999,18.209999,18.389999,261700,10.276779
2011-02-01,18.620001,19.309999,17.85,18.85,631700,10.533839
2011-01-03,18.290001,18.709999,17.73,18.530001,87000,10.355016
2010-12-01,17.98,18.280001,17.719999,18.15,56600,9.91127
2010-11-01,17.379999,18.360001,17.23,17.799999,77400,9.720144
2010-10-01,17.92,18.190001,16.74,17.26,71200,9.203492
2010-09-01,17.700001,18.08,17.34,17.889999,48000,9.539425
2010-08-02,16.709999,18.40,16.290001,17.469999,74100,9.31547
2010-07-01,15.94,16.780001,15.56,16.549999,59100,8.646363
2010-06-01,16.799999,17.00,15.75,15.90,119500,8.306778
2010-05-03,17.42,17.66,15.70,16.879999,143600,8.818768
2010-04-01,16.75,17.950001,16.67,17.42,60300,9.100885
2010-03-01,16.559999,17.33,16.389999,16.610001,91000,8.677711
2010-02-01,16.139999,16.860001,15.81,16.49,78900,8.615017
2010-01-04,17.190001,17.469999,16.01,16.10,160100,8.411266
2009-12-01,17.92,17.99,17.110001,17.18,64200,8.9755
2009-11-02,18.48,18.610001,16.700001,17.719999,110400,9.257617
2009-10-01,19.709999,19.90,18.27,18.41,112900,9.6181
2009-09-01,19.75,20.00,19.120001,19.91,221400,10.401758
2009-08-03,18.809999,19.870001,18.700001,19.75,192900,10.318168
2009-07-30,19.00,19.370001,18.799999,18.799999,4780800,9.821851
