Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,4.17,4.25,4.12,4.12,161800,3.160154
2013-03-01,4.05,4.16,4.01,4.11,72400,3.152484
2013-02-01,4.07,4.11,3.92,4.07,67800,3.121803
2013-01-02,4.01,4.09,3.86,4.09,66100,3.137143
2012-12-03,3.77,4.03,3.73,3.87,84100,2.931384
2012-11-01,3.89,3.94,3.53,3.77,92800,2.855638
2012-10-01,3.90,3.97,3.81,3.91,67700,2.961683
2012-09-04,3.72,4.15,3.72,3.92,69000,2.931577
2012-08-01,3.75,3.89,3.69,3.73,49300,2.789485
2012-07-02,3.69,3.79,3.58,3.75,61300,2.804442
2012-06-01,3.57,3.70,3.48,3.68,58500,2.715201
2012-05-01,3.84,3.84,3.48,3.61,86000,2.663553
2012-04-02,3.77,3.87,3.61,3.84,83600,2.833253
2012-03-01,3.74,3.90,3.61,3.80,97200,2.766357
2012-02-01,3.44,3.74,3.43,3.72,171800,2.708118
2012-01-03,3.49,3.53,3.32,3.44,132600,2.504281
2011-12-01,3.45,3.53,3.28,3.50,164500,2.490851
2011-11-01,3.43,3.51,3.20,3.45,62700,2.455267
2011-10-03,3.30,3.57,3.05,3.49,83400,2.483734
2011-09-01,3.68,3.76,3.30,3.30,82100,2.348517
2011-08-01,3.85,3.86,3.10,3.67,134200,2.573982
2011-07-01,3.82,3.94,3.72,3.80,91100,2.665159
2011-06-01,3.96,3.99,3.51,3.80,176300,2.665159
2011-05-02,3.99,3.99,3.79,3.97,107400,2.747165
2011-04-01,3.73,3.99,3.69,3.99,145600,2.761005
2011-03-01,3.60,3.78,3.43,3.75,87200,2.594929
2011-02-01,3.47,3.73,3.44,3.58,73300,2.443996
2011-01-03,3.47,3.58,3.40,3.47,76500,2.368901
2010-12-01,3.21,3.51,3.20,3.45,117900,2.355247
2010-11-01,3.10,3.24,3.06,3.20,101800,2.15328
2010-10-01,3.05,3.16,2.99,3.07,76800,2.065803
2010-09-01,2.78,3.07,2.78,3.05,74900,2.033145
2010-08-02,2.77,2.85,2.66,2.80,37100,1.841524
2010-07-01,2.51,2.89,2.47,2.79,52600,1.834947
2010-06-01,2.66,2.89,2.50,2.50,36200,1.644218
2010-05-03,2.89,2.94,2.37,2.70,66200,1.749545
2010-04-01,2.94,3.11,2.81,2.89,64400,1.872661
2010-03-01,2.21,2.94,2.21,2.92,82700,1.892101
2010-02-01,2.12,2.27,2.07,2.22,41500,1.417591
2010-01-04,2.43,2.45,2.12,2.14,73400,1.366507
2009-12-01,2.09,2.54,2.09,2.39,154800,1.526145
2009-11-02,1.95,2.20,1.95,2.10,46100,1.324544
2009-10-01,1.90,2.13,1.89,1.98,59300,1.248856
2009-09-01,1.74,2.09,1.71,1.96,82800,1.236242
2009-08-03,1.77,1.88,1.61,1.75,62900,1.08723
2009-07-01,1.57,1.78,1.49,1.75,45400,1.08723
2009-06-01,1.72,2.32,1.54,1.56,95300,0.969188
2009-05-01,1.61,1.84,1.44,1.72,50800,1.048556
2009-04-01,1.18,1.80,1.15,1.61,66200,0.981497
2009-03-02,1.15,1.59,0.85,1.20,64500,0.731551
2009-02-02,1.69,1.78,1.07,1.20,54800,0.677677
2009-01-02,1.90,2.24,1.55,1.71,71400,0.965689
2008-12-01,1.41,2.00,1.11,2.00,91700,1.129461
2008-11-03,2.45,2.65,0.89,1.43,62000,0.778092
2008-10-01,3.33,3.67,1.41,2.52,69200,1.336381
2008-09-02,4.63,4.70,3.04,3.39,77100,1.76421
2008-08-01,4.70,4.84,4.41,4.64,37000,2.385983
2008-07-01,5.12,5.29,3.74,4.68,57700,2.381005
2008-06-02,7.80,8.17,5.27,5.27,124100,2.651317
2008-05-01,7.73,8.48,7.52,7.80,60900,3.852447
2008-04-01,7.11,8.92,7.11,7.78,74500,3.789865
2008-03-03,8.08,8.09,6.11,7.17,64100,3.447676
2008-02-01,9.56,9.78,7.36,8.08,45400,3.824454
2008-01-02,8.01,9.61,5.00,9.40,57600,4.392661
2007-12-03,8.66,9.75,7.21,8.06,96400,3.714028
2007-11-01,10.20,10.20,7.66,8.66,62500,3.940568
2007-10-01,11.15,12.25,10.21,10.28,39500,4.620547
2007-09-04,11.31,12.05,10.86,11.16,38400,4.968554
2007-08-01,12.97,13.90,9.41,11.38,79500,5.017614
2007-07-02,14.45,15.00,12.65,12.91,38800,5.633531
2007-06-01,15.07,15.24,14.10,14.45,32100,6.256729
2007-05-01,15.62,16.00,14.80,15.08,33000,6.48247
2007-04-02,15.47,15.92,15.27,15.60,40900,6.659637
2007-03-01,15.43,15.60,14.51,15.45,50600,6.549526
2007-02-01,16.540001,16.940001,14.78,15.35,73400,6.45965
2007-01-03,16.200001,16.690001,15.85,16.450001,59200,6.875298
2006-12-01,15.20,16.24,15.05,16.24,62800,6.742278
2006-11-01,15.34,15.40,14.71,15.20,65000,6.267589
2006-10-02,14.75,15.39,14.50,15.13,56800,6.193806
2006-09-01,13.92,15.00,13.83,14.52,60200,5.901234
2006-08-01,13.27,13.92,13.18,13.90,58000,5.608232
2006-07-03,13.13,13.43,13.02,13.30,34000,5.32472
2006-06-01,13.45,13.70,12.93,13.05,44600,5.183507
2006-05-01,13.58,14.00,12.74,13.55,39300,5.339264
2006-04-03,13.80,14.18,13.26,13.63,36900,5.328953
2006-03-01,13.98,14.10,13.50,13.75,43100,5.37587
2006-02-01,13.10,13.95,12.44,13.95,41200,5.412715
2006-01-03,12.80,13.44,12.55,13.01,42200,5.009299
2005-12-01,12.84,13.25,12.25,12.50,98500,4.774354
2005-11-01,13.95,14.24,12.25,12.85,42900,4.908036
2005-10-03,14.13,14.46,12.82,13.79,25900,5.2267
2005-09-01,13.97,14.55,13.72,14.12,25500,5.311923
2005-08-01,14.65,14.86,13.53,13.98,33700,5.222218
2005-07-01,14.24,14.70,14.07,14.65,31100,5.472496
2005-06-01,14.00,14.50,13.92,14.28,32100,5.297996
2005-05-02,13.90,14.40,13.80,14.10,24100,5.194709
2005-04-01,14.50,14.74,13.60,14.00,22700,5.121338
2005-03-01,15.20,15.43,14.33,14.40,33500,5.267662
