Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,70.00,70.190002,68.730003,69.360001,6030400,64.395416
2013-03-01,62.709999,70.519997,62.189999,69.970001,4366200,64.961754
2013-02-01,62.00,65.379997,59.939999,62.959999,4205900,58.453506
2013-01-02,54.25,62.91,50.119999,60.57,5499300,55.960285
2012-12-03,52.650002,54.32,50.27,53.099998,4817000,49.058792
2012-11-01,47.00,52.529999,44.939999,52.369999,4423000,48.38435
2012-10-01,46.599998,48.400002,42.450001,47.16,4577400,43.570862
2012-09-04,42.07,48.220001,41.43,46.369999,4395000,42.603767
2012-08-01,39.080002,43.450001,37.779999,42.00,4014700,38.588707
2012-07-02,33.59,38.360001,32.349998,37.599998,3888300,34.546078
2012-06-01,29.50,34.91,29.25,33.240002,5217400,30.37557
2012-05-01,33.740002,34.099998,28.75,30.030001,8066200,27.442188
2012-04-12,33.25,37.450001,32.00,34.049999,1034000,31.115767
