Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,12.97,13.05,12.87,12.95,511000,9.73481
2013-03-01,13.18,13.46,12.71,12.87,214100,9.674672
2013-02-01,13.79,14.23,12.98,13.24,187100,9.737091
2013-01-02,12.97,13.97,12.95,13.68,224800,10.06068
2012-12-03,13.64,13.64,12.55,12.80,319200,9.413502
2012-11-01,14.20,14.32,12.53,13.54,182400,9.738952
2012-10-01,14.59,14.99,13.60,14.13,193200,10.163323
2012-09-04,14.05,14.78,13.99,14.55,196300,10.465418
2012-08-01,13.69,14.29,13.47,14.08,124200,9.886067
2012-07-02,13.37,13.95,13.12,13.64,147000,9.577128
2012-06-01,12.94,13.96,12.40,13.34,205700,9.366488
2012-05-01,14.23,14.50,12.51,13.09,199000,8.948722
2012-04-02,15.14,15.31,13.86,14.25,226300,9.741734
2012-03-01,16.16,16.27,14.83,15.13,192800,10.343328
2012-02-01,15.61,16.33,15.51,16.17,254200,10.807399
2012-01-03,13.41,15.58,13.41,15.54,218700,10.386331
2011-12-01,14.68,14.74,12.78,13.28,381900,8.875834
2011-11-01,14.41,15.24,13.77,14.66,223400,9.540133
2011-10-03,13.43,15.44,11.77,14.95,249200,9.728853
2011-09-01,16.700001,16.90,13.25,13.45,221200,8.752714
2011-08-01,18.440001,19.68,13.89,16.75,290100,10.661329
2011-07-01,18.59,19.24,17.299999,18.360001,149900,11.68609
2011-06-01,19.15,19.82,17.389999,18.559999,105500,11.813389
2011-05-02,20.02,20.059999,18.17,19.059999,203000,11.901623
2011-04-01,20.02,20.139999,20.00,20.02,79400,12.501076
2011-03-29,20.00,20.049999,19.450001,20.01,614300,12.494831
