Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.70,15.81,15.70,15.75,124800,13.032707
2013-03-01,16.00,16.200001,15.25,15.74,84700,13.024432
2013-02-01,15.40,16.24,15.40,16.040001,81900,13.20674
2013-01-02,15.11,15.58,15.05,15.38,90200,12.601645
2012-12-03,15.02,15.50,14.82,15.05,77200,12.331259
2012-11-01,15.14,15.45,13.88,15.09,66200,12.193763
2012-10-01,14.78,15.80,14.78,15.07,82500,12.114066
2012-09-04,14.65,15.05,14.49,14.73,70900,11.78117
2012-08-01,14.50,14.69,14.26,14.60,50900,11.614896
2012-07-02,14.38,14.71,14.24,14.50,33000,11.472902
2012-06-01,14.43,14.70,13.70,14.29,49200,11.245499
2012-05-01,14.42,14.63,13.98,14.43,70800,11.293601
2012-04-02,14.35,14.50,13.78,14.40,83100,11.208648
2012-03-01,14.15,14.58,13.59,14.27,118700,11.045486
2012-02-01,13.80,14.40,13.68,14.13,97200,10.876446
2012-01-03,13.63,14.00,13.18,13.79,88800,10.555125
2011-12-01,13.08,14.00,12.70,13.47,113200,10.310192
2011-11-01,12.69,13.56,12.55,13.06,81400,9.765513
2011-10-03,12.66,13.37,11.70,13.00,108900,9.662548
2011-09-01,13.54,13.71,12.43,12.67,84900,9.358785
2011-08-01,14.61,14.90,12.32,13.59,121700,9.978941
2011-07-01,15.53,15.60,14.02,14.55,74000,10.618083
2011-06-01,15.17,15.63,14.95,15.56,61400,11.296645
2011-05-02,15.61,16.25,15.06,15.18,69400,10.964247
2011-04-01,14.89,15.96,14.68,15.65,82700,11.248266
2011-03-01,15.91,16.309999,14.85,14.91,85800,10.662016
2011-02-01,15.93,17.18,15.57,15.94,111300,11.342501
2011-01-03,16.77,16.77,15.60,15.88,92000,11.246806
2010-12-01,15.25,16.73,14.99,16.549999,110000,11.721325
2010-11-01,14.48,15.25,14.03,15.23,80600,10.577582
2010-10-01,15.25,15.44,14.40,14.52,127900,10.035783
2010-09-01,14.45,15.28,14.25,15.20,121600,10.45482
2010-08-02,14.61,14.65,13.92,14.34,57300,9.814647
2010-07-01,13.78,14.60,13.65,14.56,52000,9.916745
2010-06-01,13.49,14.33,13.23,13.78,70300,9.338663
2010-05-03,15.02,15.05,12.29,13.58,111100,9.155859
2010-04-01,15.40,15.75,14.45,14.98,115700,10.0516
2010-03-01,15.39,15.93,13.91,15.42,156900,10.300975
2010-02-01,14.43,15.45,14.33,15.39,118700,10.232318
2010-01-04,13.85,14.73,13.65,14.41,97100,9.53591
2009-12-01,13.54,14.21,13.48,13.95,98300,9.231502
2009-11-02,12.62,13.48,12.55,13.46,71000,8.821076
2009-10-01,12.44,12.98,12.32,12.58,79400,8.200871
2009-09-01,11.55,12.48,11.47,12.47,68900,8.085842
2009-08-03,11.55,12.00,11.37,11.67,82000,7.523606
2009-07-01,10.89,11.61,10.80,11.53,61900,7.385699
2009-06-01,10.42,11.00,10.35,10.93,68100,6.953711
2009-05-01,9.87,10.90,9.64,10.43,88900,6.589784
2009-04-01,9.01,10.00,8.95,9.85,80600,6.162261
2009-03-02,8.60,9.30,7.80,9.11,98100,5.640854
2009-02-02,9.65,10.03,8.40,8.87,103100,5.426076
2009-01-02,7.92,9.83,7.92,9.64,108300,5.836316
2008-12-01,7.89,9.28,7.00,7.90,114900,4.782873
2008-11-03,9.73,10.25,6.85,8.16,90800,4.52405
2008-10-01,11.22,11.74,6.56,9.63,118200,5.283138
2008-09-02,13.74,14.01,10.15,11.19,136800,6.064882
2008-08-01,14.19,14.22,13.51,13.68,69000,7.357407
2008-07-01,14.83,15.09,13.40,14.11,53900,7.530972
2008-06-02,15.68,15.92,14.72,14.83,65800,7.8571
2008-05-01,15.67,16.110001,15.37,15.71,66700,8.265686
2008-04-01,14.50,15.87,14.50,15.62,84900,8.152734
2008-03-03,14.84,14.99,13.37,14.51,85200,7.5098
2008-02-01,15.87,15.96,13.70,14.88,154400,7.635854
2008-01-02,15.92,16.540001,15.50,15.83,85800,8.053857
2007-12-03,17.00,17.00,15.44,15.78,144300,8.028419
2007-11-01,16.74,19.290001,15.43,16.51,100600,8.269684
2007-10-01,17.99,18.49,16.620001,16.790001,75000,8.344313
2007-09-04,17.219999,18.200001,17.16,17.93,79000,8.850004
2007-08-01,17.879999,17.99,14.80,17.32,150900,8.48945
2007-07-02,19.51,20.209999,17.02,18.030001,123500,8.773788
2007-06-01,19.42,19.950001,18.99,19.530001,77400,9.443631
2007-05-01,19.57,19.82,19.33,19.459999,61900,9.348965
2007-04-02,19.09,19.700001,19.059999,19.59,73900,9.351763
2007-03-01,18.940001,19.15,18.42,19.059999,81900,9.040429
2007-02-01,19.610001,19.860001,18.57,18.950001,85200,8.928588
2007-01-03,19.209999,20.00,19.209999,19.629999,75300,9.190173
2006-12-01,19.10,19.280001,19.030001,19.27,69100,9.021633
2006-11-01,18.690001,19.49,18.66,19.129999,111900,8.839973
2006-10-02,18.860001,19.00,18.110001,18.700001,130200,8.584866
2006-09-01,18.90,19.219999,18.75,18.860001,83300,8.599466
2006-08-01,18.92,18.99,18.51,18.92,90200,8.570631
2006-07-03,19.00,19.10,18.74,18.90,98400,8.504766
2006-06-01,18.049999,18.98,18.00,18.959999,155700,8.475428
2006-05-01,18.02,18.18,17.700001,18.040001,69600,8.009627
2006-04-03,18.33,18.540001,17.77,17.99,77400,7.93665
2006-03-01,18.43,18.68,18.23,18.309999,105700,8.026895
2006-02-01,18.030001,18.950001,17.959999,18.40,122200,8.015908
2006-01-03,17.08,18.120001,17.049999,17.93,158900,7.762175
2005-12-01,16.870001,17.559999,16.75,17.16,132700,7.42883
2005-11-01,17.190001,17.459999,16.68,16.959999,87100,7.229283
2005-10-03,17.57,17.74,16.969999,17.15,68800,7.2658
2005-09-01,17.700001,18.059999,17.280001,17.57,85000,7.39958
2005-08-01,17.879999,18.18,17.549999,17.700001,91000,7.414092
2005-07-01,17.709999,18.01,17.610001,17.84,78000,7.433909
2005-06-01,17.43,17.719999,17.200001,17.700001,81000,7.337252
2005-05-02,17.91,18.09,16.950001,17.40,85700,7.174472
2005-04-01,18.299999,18.379999,17.52,17.90,72700,7.341921
2005-03-01,19.09,19.27,17.90,18.219999,86700,7.434711
2005-02-01,18.85,19.190001,18.790001,19.15,84400,7.776291
2005-01-03,18.60,18.940001,18.58,18.780001,83000,7.589048
2004-12-01,19.08,19.139999,18.33,18.629999,118300,7.528432
2004-11-01,18.969999,19.290001,18.809999,19.040001,83100,7.617403
2004-10-01,20.00,20.049999,18.700001,18.950001,89100,7.544579
2004-09-01,20.00,20.030001,20.00,20.00,76400,7.924306
2004-08-30,20.00,20.01,20.00,20.00,36600,7.924306
